headline
'I couldn't have played better' - Sinner wins first ATP Finals title
Sinner sets up Fritz title decider at ATP Finals
Sinner and Fritz progress at ATP Finals
'Sinnermania' continues in Italy despite doping controversy
Sinner beats Fritz after Medvedev defeats De Minaur
Sinner wins Finals opener after Fritz beats irate Medvedev
Can Sinner end eventful year with a title? ATP Finals lowdown
What happens next in Sinner doping case?
Djokovic denied 100th title as Sinner wins in Shanghai
Djokovic overcomes 'issues' to set up Sinner final
Alcaraz and Sinner survive tough tests in Shanghai
"Djokovic, Sinner and Alcaraz win Shanghai openers"
Alcaraz beats Sinner in dramatic China Open final
Alcaraz sees off Medvedev to set up Sinner final
Will cloud hang over Sinner's US Open victory?
Sinner 'surprised' as Wada launches doping appeal
French Open: Sinner beats Gasquet in straight sets - follow live
Listen: French Open - Sinner beats Moutet to reach quarter-finals
Wimbledon: Sinner dominates Kecmanovic to reach fourth round
Watch Wimbledon day one: Sinner wins in four sets
Watch Wimbledon: Sinner beats Berrettini in Centre Court duel
'I'm more impressed with Draper now' - reaction after Briton falls to Sinner in gruelling semi-final
'This means so much' - relive how Sinner won US Open
Sinner savours US Open win after 'difficult' build-up
Sinner storms past Fritz to win first US Open title
Sinner and Fritz bid to make history in US Open final
Sick Draper loses to Sinner in dramatic US Open semi-final
How does Draper beat world number one Sinner?
Sinner beats Medvedev to set up Draper semi-final
Sinner beats Paul to set up Medvedev quarter-final
Sinner & Medvedev avoid same fate as rivals at US Open
Sinner and Alcaraz overcome early wobbles at US Open
Sinner parts with physio & fitness coach after investigation
Sinner 'worn down physically and mentally' by investigation
Sinner cleared after testing positive twice for banned substance
Sinner beats Tiafoe to win Cincinnati Open title
Sinner beats Zverev to reach Cincinnati Open final
Rublev too good for Sinner at Canadian Open
Sinner out of Olympics with tonsillitis
I'm not at level of Alcaraz or Sinner - Djokovic
Sinner wins epic Italian showdown against Berrettini
Sinner wins first title as world number one
'New chapter' for world number one Sinner
Alcaraz recovers to beat Sinner & reach Paris final against Zverev
Alcaraz v Sinner 'the match everybody wants to watch'
Alcaraz beats Tsitsipas to set up Sinner semi-final
Sinner makes light work of Eubanks in Paris opener
Home hope Sinner withdraws from Italian Open
Miami Open: Jannik Sinner beats Grigor Dimitrov in straight sets to win men's title
Miami Open: Jannik Sinner reaches final against Grigor Dimitrov
Miami Open: Jannik Sinner beats Tomas Machac to reach semi-finals
"Miami Open: Carlos Alcaraz, Jannik Sinner & Daniil Medvedev reach quarter-finals"
Indian Wells: Carlos Alcaraz ends Jannik Sinner's winning run to set up Daniil Medvedev final
Indian Wells Semi-final LIVE: Jannik Sinner vs Carlos Alcaraz radio commentary
Rotterdam Open: Jannik Sinner beats Alex de Minaur to rise to third in world
Australian Open 2024: Jannik Sinner 'dances in pressure storm' to win first major
Australian Open men's final 2024: Jannik Sinner beats Daniil Medvedev in Melbourne final
Australian Open men's final 2024: Daniil Medvedev confident of beating Jannik Sinner
"Australian Open men's final 2024 LIVE: Jannik Sinner beats Daniil Medvedev - radio, text & updates"
"Australian Open 2024 results: Novak Djokovic loses to Jannik Sinner, Daniil Medvedev beats Alexander Zverev"
Australian Open 2024: Jannik Sinner's rise from promising skier to Grand Slam finalist
