headline
Alcaraz exits ATP Finals as Zverev & Ruud progress
Alcaraz wins against Rublev and Zverev beats Ruud
Ruud stuns out-of-sorts Alcaraz at ATP Finals
"ð§ Amorim arrives, Ruud goodbye?"
Chilled-out Ruud waiting to be told his Man Utd future
Ruud's back at Man Utd
Ruud moves into French Open second round
Dive into Asiaâs deep waters
Barcelona Open: Casper Ruud earns straight sets win over Stefanos Tsitsipas in final
Stefanos Tsitsipas & Casper Ruud into Barcelona Open final
Monte Carlo Masters: Stefanos Tsitsipas beats Casper Ruud to win third title
Monte Carlo Masters: Casper Ruud beats Novak Djokovic to set up Stefanos Tsitsipas final
Australian Open 2024 results: Cameron Norrie beats Casper Ruud in Melbourne
Australian Open 2024: Cameron Norrie faces Casper Ruud in third round
"Australian Open 2024 results: Casper Ruud, Holger Rune and Sumit Nagal win"
Carlos Alcaraz beats Casper Ruud to reach semi-finals of China Open
Dive into Asiaâs deep waters
"US Open 2023 results: Stefanos Tsitsipas & Casper Ruud out, Novak Djokovic through"
"US Open 2023 results: Holger Rune stunned in first round, Dominic Thiem & Casper Ruud win"
"US Open 2023 LIVE: Iga Swiatek, Lily Miyazaki, Casper Ruud, Victoria Azarenka & Holger Rune play"
Swedish Open: Andrey Rublev beats Casper Ruud in straight sets to win title
"Wimbledon 2023 results: Liam Broady beats Casper Ruud, Katie Boulter sets up Rybakina match"
"Wimbledon 2023: Court One action & updates - Iga Swiatek, Casper Ruud & Coco Gauff"
French Open 2023 results: Novak Djokovic beats Casper Ruud to win Paris title and claim 23rd major
French Open final 2023: Novak Djokovic plays Casper Ruud in Roland Garros men's showpiece
"French Open final 2023 LIVE: Novak Djokovic v Casper Ruud - radio, text & updates"
Dive into Asiaâs deep waters
French Open 2023 results: Novak Djokovic to face Casper Ruud in final after beating Carlos Alcaraz
French Open 2023 LIVE: Casper Ruud v Alexander Zverev - live radio and text commentary
French Open 2023 results: Casper Ruud sets up semi-final with Alexander Zverev by beating Holger Rune
"French Open 2023 LIVE: Rune v Ruud after Zverev, Swiatek & Haddad Maia win - score, commentary & updates"
French Open 2023: Holger Rune wins five-set thriller to book quarter-final against Casper Ruud
"French Open 2023: Iga Swiatek, Ons Jabeur, Casper Ruud and Alexander Zverev in fourth round action"
"French Open 2023 results: Casper Ruud through to third round, Jannik Sinner loses five-set epic"
"French Open 2023: Iga Swiatek continues title defence; Casper Ruud, Elena Rybakina also in action"
PSV Eindhoven: Ruud van Nistelrooy leaves club with immediate effect
Freestyle Ski & Snowboarding World Champs 2023 LIVE: Mathilde Gremaud and Birk Ruud win freeski slopestyle gold
Dive into Asiaâs deep waters
Australian Open 2023 results: Novak Djokovic wins but Casper Ruud loses to Jenson Brooksby
ATP Finals: Novak Djokovic beats Casper Ruud to equal Roger Federer's record
ATP Finals: Rafael Nadal bows out with victory over Casper Ruud in Turin
Arsenal v PSV Eindhoven: Ruud van Nistelrooy jokes that he expects 'warm welcome' at Emirates
US Open: Carlos Alcaraz beats Casper Ruud in New York to win first major
US Open: Carlos Alcaraz meets Casper Ruud in final as world number one spot to be decided
"US Open LIVE: Carlos Alcaraz beats Casper Ruud in men's singles final - score, commentary & updates"
US Open: Carlos Alcaraz and Casper Ruud win to reach New York final
"US Open: Frances Tiafoe, Carlos Alcaraz, Casper Ruud & Karen Khachanov aiming for final"
Dive into Asiaâs deep waters
"US Open LIVE: Ruud beats Khachanov before Alcaraz v Tiafoe - score, commentary & updates"
"US Open: Nick Kyrgios loses to Karen Khachanov, Casper Ruud beats Matteo Berrettini"
"US Open LIVE: Ruud & Jabeur win before Kyrgios in action - score, commentary & updates"
"US Open LIVE: Nick Kyrgios, Coco Gauff & Casper Ruud in action - score, commentary & updates"
Wimbledon 2022 LIVE: Watch GB's Bains/Lumsden & Blumberg/Ruud on court 15
Wimbledon: Casper Ruud loses but Novak Djokovic through to third round
Wimbledon 2022 LIVE: Watch Casper Ruud & Greet Minnen on court two
Wimbledon 2022 LIVE: Watch Casper Ruud & Belinda Bencic on court 12
Queen's: Ryan Peniston stuns Casper Ruud at Cinch Championships in London
Dive into Asiaâs deep waters
"Queen's LIVE: Watch Casper Ruud, Dan Evans & Stan Wawrinka in action plus scores & results"
French Open: Rafael Nadal beats Casper Ruud for 14th Roland Garros title
French Open: Rafael Nadal bids for 14th Roland Garros title against Casper Ruud
"French Open LIVE: Rafael Nadal beats Casper Ruud in men's final - scores, commentary & updates"
French Open: Protester interrupts semi-final between Casper Ruud and Marin Cilic
"French Open LIVE: Ruud beats Cilic after Nadal reaches final after Zverev injury - scores, commentary & updates"
"French Open LIVE: Iga Swiatek, Marin Cilic & Casper Ruud in action - scores, commentary & updates"
French Open: Jo-Wilfried Tsonga retires after emotional Casper Ruud defeat
Miami Open: Carlos Alcaraz beats Casper Ruud to win first Masters 1000 title
Dive into Asiaâs deep waters
Miami Open: Carlos Alcaraz to play Casper Ruud in final
Ruud van Nistelrooy: PSV Eindhoven appoint former Manchester United striker as boss from the 2022-23 season
"Miami Open: Cameron Norrie loses to Casper Ruud, Daniil Medvedev wins"
San Diego Open: Cameron Norrie beaten in final by Casper Ruud
"Laver Cup: Matteo Berrettini, Casper Ruud and Andrey Rublev get Team Europe off to winning start"
Champions League final - Man City v Chelsea: âThis trophy will acknowledge their greatnessâ - Ruud Gullit on Phil Foden and Mason Mount
"Watch FIFA Global Series 2021 LIVE: PSV, Ruud Gullit's academy & Hashtag United in European Qualifier 3 action"
"MOTD Top 10 podcast: Roberto di Matteo on Paul Gascoigne, Ruud Gullit and more"
Dive into Asiaâs deep waters
"Chelsea: Ruud Gullit looks back fondly on his Premier League arrival, 25 years on"
Pep Guardiola leaving Manchester City would be understandable - Ruud Gullit
Ruud Gullit on Gonzalo Higuain and Chelsea boss Maurizio Sarri
Ruud Gullit says it is 'almost impossible' for black players to speak out about racism
Chelsea 3-1 Crystal Palace: Alvaro Morata is the top striker the Blues need - Ruud Gullit
FA Cup final: What will decide Chelsea v Man Utd? Ruud Gullit & Phil Neville analysis
Dive into Asiaâs deep waters
Ruud Gullit: Netherlands assistant coach regrets posting dressing-room video
Chelsea: How Antonio Conte's catenaccio beat Tottenham at Wembley - Ruud Gullit
"Harry Kane: Spurs striker joins Alan Shearer, Thierry Henry and Ruud van Nistelrooy"
How Burnley exposed a weak spot in Chelsea's defence - Ruud Gullit
David Luiz: How Chelsea system gives defender freedom - Ruud Gullit
Chelsea boss Antonio Conte still searching for 'ideal system' - Ruud Gullit
Wimbledon 2016: Casper Ruud v Ulises Blanch - court 16
Ruud Gullit - a lot needs to change at Chelsea
Dive into Asiaâs deep waters
