tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points
2020-580,Australian Open,Hard,128,G,20200120,100,104745,1,,Rafael Nadal,L,185,ESP,33.6,106198,,,Hugo Dellien,R,180,BOL,26.5,6-2 6-3 6-0,5,R128,122,5,5,71,44,31,16,12,3,5,0,2,89,64,32,8,11,10,18,1,10235,73,743
2020-580,Australian Open,Hard,128,G,20200120,101,105643,,,Federico Delbonis,L,193,ARG,29.2,105311,,,Joao Sousa,R,185,POR,30.8,6-3 6-4 7-6(3),5,R128,139,11,4,103,68,52,21,16,3,3,4,5,108,60,43,24,15,8,10,76,711,59,891
2020-580,Australian Open,Hard,128,G,20200120,102,105376,,Q,Peter Gojowczyk,R,188,GER,30.5,111153,,Q,Christopher Eubanks,R,201,USA,23.7,7-6(1) 6-3 4-6 6-0,5,R128,125,12,1,118,74,55,28,19,3,4,22,4,116,80,54,15,18,8,12,120,463,221,215
2020-580,Australian Open,Hard,128,G,20200120,103,105807,27,,Pablo Carreno Busta,R,188,ESP,28.5,106075,,LL,Jozef Kovalik,R,183,SVK,27.2,6-4 3-6 6-1 7-6(2),5,R128,157,12,3,104,67,58,20,19,1,3,8,2,110,66,43,26,19,4,8,30,1422,139,379
2020-580,Australian Open,Hard,128,G,20200120,104,106401,23,,Nick Kyrgios,R,193,AUS,24.7,132283,,,Lorenzo Sonego,R,191,ITA,24.6,6-2 7-6(3) 7-6(1),5,R128,133,14,1,87,65,59,12,16,0,0,12,3,99,66,50,17,16,4,6,26,1520,53,990
2020-580,Australian Open,Hard,128,G,20200120,105,104468,,,Gilles Simon,R,183,FRA,35,104655,,,Pablo Cuevas,R,180,URU,34,6-1 6-3 6-3,5,R128,109,9,2,86,47,38,19,13,7,8,1,0,73,49,27,10,12,3,9,61,890,46,1097
2020-580,Australian Open,Hard,128,G,20200120,106,144707,,,Mikael Ymer,R,183,SWE,21.3,106034,,,Yasutaka Uchiyama,R,183,JPN,27.4,6-4 6-1 6-2,5,R128,119,4,4,93,70,54,10,13,6,6,6,2,76,51,30,9,12,4,9,78,709,93,594
2020-580,Australian Open,Hard,128,G,20200120,107,111575,16,,Karen Khachanov,R,198,RUS,23.6,106408,,Q,Mario Vilella Martinez,R,178,ESP,24.5,4-6 6-4 7-6(4) 6-3,5,R128,170,10,1,115,73,59,30,21,1,2,6,2,127,74,55,31,20,5,7,17,1995,196,254
2020-580,Australian Open,Hard,128,G,20200120,108,104792,10,,Gael Monfils,R,193,FRA,33.3,104229,,,Yen Hsun Lu,R,180,TPE,36.4,6-1 6-4 6-2,5,R128,104,6,4,84,56,44,15,13,7,7,3,3,72,41,26,12,12,3,8,10,2565,,
2020-580,Australian Open,Hard,128,G,20200120,109,103333,,,Ivo Karlovic,R,208,CRO,40.8,105577,,,Vasek Pospisil,R,193,CAN,29.5,7-6(4) 6-4 7-5,5,R128,121,13,3,94,65,58,18,17,1,1,14,7,99,58,48,23,17,3,5,124,436,138,392
2020-580,Australian Open,Hard,128,G,20200120,110,105379,,,Aljaz Bedene,R,181,SLO,30.5,105902,,,James Duckworth,R,183,AUS,27.9,6-4 6-7(5) 6-7(5) 6-2 6-4,5,R128,236,28,4,157,92,80,40,26,6,6,21,15,191,101,80,41,26,5,9,55,950,94,588
2020-580,Australian Open,Hard,128,G,20200120,111,105208,,Q,Ernests Gulbis,R,190,LAT,31.3,200000,20,,Felix Auger Aliassime,R,193,CAN,19.4,7-5 4-6 7-6(4) 6-4,5,R128,215,14,3,133,75,59,35,22,4,6,8,7,140,86,67,25,22,12,15,256,179,22,1701
2020-580,Australian Open,Hard,128,G,20200120,112,126203,29,,Taylor Fritz,R,196,USA,22.2,134868,,Q,Tallon Griekspoor,R,188,NED,23.5,6-3 6-3 6-3,5,R128,86,17,0,69,45,44,13,14,2,2,4,3,89,58,40,12,13,4,8,34,1335,175,288
2020-580,Australian Open,Hard,128,G,20200120,113,104731,,,Kevin Anderson,R,203,RSA,33.6,125802,,Q,Ilya Ivashka,R,193,BLR,25.9,6-4 2-6 4-6 6-4 7-6(8),5,R128,234,16,3,161,105,78,25,25,8,13,11,6,155,103,76,27,25,4,8,122,445,149,354
2020-580,Australian Open,Hard,128,G,20200120,114,106109,,WC,Alex Bolt,L,183,AUS,27,105077,,,Albert Ramos,L,188,ESP,32,7-6(1) 1-6 6-7(5) 6-1 6-4,5,R128,204,11,3,133,80,57,30,24,4,9,9,4,165,111,76,25,24,6,13,140,377,42,1130
2020-580,Australian Open,Hard,128,G,20200120,115,106233,5,,Dominic Thiem,R,185,AUT,26.3,105173,,,Adrian Mannarino,L,180,FRA,31.5,6-3 7-5 6-2,5,R128,141,7,4,96,57,44,21,15,6,7,5,3,86,49,28,19,14,5,10,5,5890,44,1111
