tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points
2024-580,Australian Open,Hard,128,G,20240115,100,104925,1,,Novak Djokovic,R,188,SRB,36.6,209976,,Q,Dino Prizmic,R,188,CRO,18.4,6-2 6-7(5) 6-3 6-4,5,R128,241,11,1,129,77,51,32,20,5,9,7,7,123,84,55,12,19,9,17,1,11055,187,321
2024-580,Australian Open,Hard,128,G,20240115,101,200615,,,Alexei Popyrin,R,196,AUS,24.4,117360,,WC,Marc Polmans,R,188,AUS,26.7,6-3 7-6(3) 6-2,5,R128,148,20,3,87,63,51,15,15,3,3,11,5,113,77,51,15,14,7,11,43,1052,154,406
2024-580,Australian Open,Hard,128,G,20240115,102,104792,,,Gael Monfils,R,193,FRA,37.3,105870,,,Yannick Hanfmann,R,193,GER,32.1,6-4 6-3 7-5,5,R128,139,16,5,94,49,36,29,16,4,5,6,4,108,70,45,18,15,8,12,76,737,52,929
2024-580,Australian Open,Hard,128,G,20240115,103,144869,30,,Tomas Martin Etcheverry,R,196,ARG,24.4,104918,,,Andy Murray,R,191,GBR,36.6,6-4 6-2 6-2,5,R128,143,11,0,80,57,43,14,13,4,5,6,2,82,43,31,13,13,8,14,32,1375,44,1050
2024-580,Australian Open,Hard,128,G,20240115,104,105173,20,,Adrian Mannarino,L,180,FRA,35.5,104527,,,Stan Wawrinka,R,183,SUI,38.8,6-4 3-6 5-7 6-3 6-0,5,R128,216,13,6,131,76,62,27,23,6,10,14,0,138,70,52,30,23,6,13,19,1765,56,907
2024-580,Australian Open,Hard,128,G,20240115,105,144719,,,Jaume Munar,R,183,ESP,26.6,207686,,,Alexander Shevchenko,R,185,KAZ,23.1,6-3 6-3 6-1,5,R128,115,8,3,70,49,40,11,13,3,4,3,5,91,49,31,15,12,9,15,82,706,48,975
2024-580,Australian Open,Hard,128,G,20240115,106,106331,,,Christopher Oconnell,R,183,AUS,29.6,106426,,,Cristian Garin,R,185,CHI,27.6,3-6 7-5 4-6 6-1 7-5,5,R128,261,18,5,173,97,73,33,25,12,17,13,10,148,82,55,32,25,4,11,68,814,86,680
2024-580,Australian Open,Hard,128,G,20240115,107,210097,16,,Ben Shelton,L,193,USA,21.2,105138,,,Roberto Bautista Agut,R,183,ESP,35.7,6-2 7-6(2) 7-5,5,R128,166,14,2,103,70,55,13,16,9,11,1,2,114,87,50,13,16,1,6,16,2225,72,776
2024-580,Australian Open,Hard,128,G,20240115,108,126203,12,,Taylor Fritz,R,196,USA,26.2,207680,,,Facundo Diaz Acosta,L,183,ARG,23,4-6 6-3 3-6 6-2 6-4,5,R128,243,8,1,150,98,65,27,23,12,17,4,7,157,99,65,25,23,9,16,12,2840,90,661
2024-580,Australian Open,Hard,128,G,20240115,109,200384,,LL,Hugo Gaston,L,173,FRA,23.3,106148,,,Roberto Carballes Baena,R,183,ESP,30.8,6-3 6-2 3-6 6-4,5,R128,174,8,3,108,68,44,28,18,6,8,8,3,133,83,55,21,18,11,16,97,626,63,846
2024-580,Australian Open,Hard,128,G,20240115,110,206681,,,Fabian Marozsan,R,193,HUN,24.2,105227,,,Marin Cilic,R,198,CRO,35.2,6-1 2-6 6-2 7-5,5,R128,151,10,3,91,59,47,19,18,0,2,16,6,125,65,46,25,17,11,17,67,823,,
2024-580,Australian Open,Hard,128,G,20240115,111,202103,22,,Francisco Cerundolo,R,185,ARG,25.4,208013,,Q,Dane Sweeny,R,170,AUS,22.9,3-6 6-3 6-4 2-6 6-2,5,R128,203,9,3,137,91,64,27,22,6,10,1,7,135,78,50,34,22,8,13,21,1760,257,228
2024-580,Australian Open,Hard,128,G,20240115,112,207518,25,,Lorenzo Musetti,R,185,ITA,21.8,126127,,,Benjamin Bonzi,R,183,FRA,27.6,7-6(3) 7-6(4) 4-6 6-2,5,R128,214,7,4,149,89,62,31,21,3,7,6,4,127,79,56,26,21,5,10,28,1440,106,588
2024-580,Australian Open,Hard,128,G,20240115,113,209414,,,Luca Van Assche,R,178,FRA,19.6,105902,,WC,James Duckworth,R,183,AUS,31.9,6-7(2) 6-3 3-6 6-3 6-3,5,R128,212,11,6,134,67,59,39,24,0,2,21,3,157,95,73,29,24,8,13,79,715,95,628
2024-580,Australian Open,Hard,128,G,20240115,114,111442,,,Jordan Thompson,R,183,AUS,29.7,126846,,,Aleksandar Vukic,R,188,AUS,27.7,3-6 7-6(3) 6-2 3-6 6-4,5,R128,248,18,3,151,91,70,32,24,12,15,14,2,158,93,66,39,24,8,12,47,982,64,835
2024-580,Australian Open,Hard,128,G,20240115,115,126774,7,,Stefanos Tsitsipas,R,193,GRE,25.4,200267,,LL,Zizou Bergs,R,185,BEL,24.6,5-7 6-1 6-1 6-3,5,R128,179,10,6,116,66,48,27,18,3,5,6,3,113,57,36,28,17,9,16,7,4025,129,508
2024-580,Australian Open,Hard,128,G,20240115,116,206173,4,,Jannik Sinner,R,191,ITA,22.4,122298,,,Botic Van De Zandschulp,R,191,NED,28.2,6-4 7-5 6-3,5,R128,154,7,2,88,51,35,24,16,5,6,8,2,107,69,45,15,15,10,15,4,6490,59,890
2024-580,Australian Open,Hard,128,G,20240115,117,207411,,Q,Jesper De Jong,R,180,NED,23.6,106398,,,Pedro Cachin,R,185,ARG,28.7,4-6 6-2 6-3 6-4,5,R128,153,11,2,112,75,56,23,19,4,6,7,3,105,66,45,19,18,3,8,161,393,74,763
2024-580,Australian Open,Hard,128,G,20240115,118,123755,,,Daniel Elahi Galan,R,191,COL,27.5,106186,,WC,Jason Kubler,R,178,AUS,30.6,2-6 6-3 7-6(3) 4-6 7-6(8),5,R128,299,16,2,202,137,90,28,26,17,25,11,4,175,109,71,33,25,7,13,87,676,113,561
2024-580,Australian Open,Hard,128,G,20240115,119,202104,26,,Sebastian Baez,R,170,ARG,23,200670,,,J J Wolf,R,183,USA,25,3-6 6-2 6-3 3-0 RET,5,R128,133,6,2,90,66,42,15,15,8,11,13,5,98,57,34,17,14,7,14,29,1435,57,900
2024-580,Australian Open,Hard,128,G,20240115,120,126207,17,,Frances Tiafoe,R,188,USA,25.9,106432,,,Borna Coric,R,188,CRO,27.1,6-3 7-6(7) 2-6 6-3,5,R128,208,15,8,163,97,71,29,19,10,14,12,2,118,80,56,19,19,5,9,17,2100,40,1100
2024-580,Australian Open,Hard,128,G,20240115,121,207830,,,Tomas Machac,R,183,CZE,23.2,208278,,LL,Shintaro Mochizuki,R,175,JPN,20.6,7-5 6-1 7-5,5,R128,150,4,0,103,72,56,13,16,6,7,4,4,104,56,40,19,15,7,12,75,748,136,457
2024-580,Australian Open,Hard,128,G,20240115,122,206499,,Q,Aleksandar Kovacevic,R,183,USA,25.3,126214,,,Alejandro Tabilo,L,188,CHI,26.6,6-7(2) 7-6(7) 1-6 6-1 6-3,5,R128,202,23,8,162,101,76,34,24,11,13,34,6,143,89,73,26,23,2,6,101,611,49,970
2024-580,Australian Open,Hard,128,G,20240115,123,111575,15,,Karen Khachanov,R,198,RUS,27.6,127157,,,Daniel Altmaier,R,188,GER,25.3,5-7 6-3 7-6(5) 7-6(3),5,R128,242,15,4,147,85,65,33,23,7,11,10,3,145,90,68,26,22,8,12,15,2430,50,946
2024-580,Australian Open,Hard,128,G,20240115,124,200282,10,,Alex De Minaur,R,183,AUS,24.9,105683,,,Milos Raonic,R,196,CAN,33,6-7(6) 6-3 2-0 RET,5,R128,115,10,1,80,41,35,24,12,4,4,12,1,70,40,30,18,11,1,3,10,2950,319,165
2024-580,Australian Open,Hard,128,G,20240115,125,208286,,,Matteo Arnaldi,R,185,ITA,22.8,200443,,WC,Adam Walton,R,183,AUS,24.7,7-6(5) 6-2 6-4,5,R128,156,16,1,114,72,52,21,15,9,11,1,0,92,59,40,15,15,8,13,41,1077,174,354
2024-580,Australian Open,Hard,128,G,20240115,126,200303,,,Pavel Kotov,R,191,RUS,25.1,126239,,,Arthur Rinderknech,R,196,FRA,28.4,7-5 6-1 6-7(6) 6-7(5) 6-3,5,R128,282,9,4,176,124,92,29,26,9,10,18,6,183,114,85,29,26,10,16,65,835,94,629
