tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points
2021-520,Roland Garros,Clay,128,G,20210531,100,104925,1,,Novak Djokovic,R,188,SRB,34,105815,,,Tennys Sandgren,R,188,USA,29.8,6-2 6-4 6-2,5,R128,118,4,2,73,49,42,13,13,6,6,5,1,94,56,30,20,13,6,11,1,11313,66,1033
2021-520,Roland Garros,Clay,128,G,20210531,101,104655,,,Pablo Cuevas,R,180,URU,35.4,106298,,,Lucas Pouille,R,185,FRA,27.2,6-3 6-1 6-3,5,R128,109,10,0,75,53,37,17,13,4,5,6,6,91,34,23,21,12,10,16,92,846,86,892
2021-520,Roland Garros,Clay,128,G,20210531,102,105902,,,James Duckworth,R,183,AUS,29.3,106099,,,Salvatore Caruso,R,185,ITA,28.4,6-4 3-6 7-6(4) 6-2,5,R128,209,15,8,161,93,73,26,20,21,25,7,4,138,79,52,32,19,10,15,101,794,82,906
2021-520,Roland Garros,Clay,128,G,20210531,103,105575,,,Ricardas Berankis,R,175,LTU,30.9,200005,29,,Ugo Humbert,L,188,FRA,22.9,6-4 6-4 2-6 6-4,5,R128,181,5,6,141,83,57,29,19,15,19,14,6,125,67,43,30,19,11,16,93,839,32,1780
2021-520,Roland Garros,Clay,128,G,20210531,104,200282,21,,Alex De Minaur,R,183,AUS,22.2,105882,,,Stefano Travaglia,R,185,ITA,29.4,6-2 6-4 7-6(4),5,R128,148,11,3,114,58,39,33,15,14,16,9,5,108,65,40,22,15,2,7,22,2350,78,939
2021-520,Roland Garros,Clay,128,G,20210531,105,106065,,,Marco Cecchinato,R,185,ITA,28.6,106034,,,Yasutaka Uchiyama,R,183,JPN,28.8,3-6 6-1 6-2 6-4,5,R128,138,10,4,85,64,51,11,17,0,2,4,3,116,75,39,24,17,9,15,83,903,115,704
2021-520,Roland Garros,Clay,128,G,20210531,106,106415,,,Yoshihito Nishioka,L,170,JPN,25.6,104542,,,Jo-Wilfried Tsonga,R,188,FRA,36.1,6-4 6-2 3-6 7-6(5),5,R128,172,2,2,126,90,66,19,20,6,8,19,5,134,82,60,22,19,8,12,57,1142,77,947
2021-520,Roland Garros,Clay,128,G,20210531,107,207518,,,Lorenzo Musetti,R,185,ITA,19.2,105676,13,,David Goffin,R,180,BEL,30.4,6-0 7-5 7-6(3),5,R128,138,3,1,105,75,53,15,15,6,8,7,4,98,55,38,14,15,7,13,76,950,13,2875
2021-520,Roland Garros,Clay,128,G,20210531,108,126610,9,,Matteo Berrettini,R,196,ITA,25.1,106121,,Q,Taro Daniel,R,191,JPN,28.3,6-0 6-4 4-6 6-4,5,R128,142,14,4,85,59,53,16,18,0,1,4,8,121,81,51,21,18,6,11,9,3958,113,716
2021-520,Roland Garros,Clay,128,G,20210531,109,105948,,,Federico Coria,R,180,ARG,29.2,103852,,,Feliciano Lopez,L,188,ESP,39.6,6-3 7-6(4) 6-2,5,R128,118,5,4,80,65,54,5,15,0,1,10,4,94,53,37,19,14,5,10,94,838,62,1072
2021-520,Roland Garros,Clay,128,G,20210531,110,126952,,,Soon Woo Kwon,R,180,KOR,23.4,104731,,,Kevin Anderson,R,203,RSA,35,7-5 6-4 2-6 7-6(4),5,R128,189,8,9,143,76,57,37,21,4,7,30,3,127,78,64,24,21,9,12,91,854,100,795
2021-520,Roland Garros,Clay,128,G,20210531,111,104312,,,Andreas Seppi,R,190,ITA,37.2,200000,20,,Felix Auger Aliassime,R,193,CAN,20.8,6-3 7-6(8) 4-6 6-4,5,R128,213,5,7,140,76,55,38,21,10,12,12,6,141,95,66,25,20,9,13,98,811,21,2423
2021-520,Roland Garros,Clay,128,G,20210531,112,126203,30,,Taylor Fritz,R,196,USA,23.5,105311,,,Joao Sousa,R,185,POR,32.1,6-4 6-2 6-4,5,R128,101,7,3,72,41,34,21,14,1,2,1,2,84,50,33,14,14,5,10,33,1760,114,714
2021-520,Roland Garros,Clay,128,G,20210531,113,136440,,,Dominik Koepfer,L,180,GER,27,106288,,WC,Mathias Bourgue,R,188,FRA,27.3,6-3 6-3 6-4,5,R128,124,3,4,100,60,43,22,14,9,10,1,2,90,61,38,11,14,7,12,59,1134,197,359
2021-520,Roland Garros,Clay,128,G,20210531,114,105227,,,Marin Cilic,R,198,CRO,32.6,126239,,WC,Arthur Rinderknech,R,196,FRA,25.8,7-6(6) 6-1 6-2,5,R128,138,8,0,81,53,45,14,14,5,6,10,6,120,71,43,21,13,11,17,47,1388,118,677
2021-520,Roland Garros,Clay,128,G,20210531,115,103819,8,,Roger Federer,R,185,SUI,39.8,104797,,Q,Denis Istomin,R,185,UZB,34.7,6-2 6-4 6-3,5,R128,93,8,0,65,46,37,15,14,0,0,3,4,87,61,36,13,13,8,13,8,5605,204,343
