tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points
2023-580,Australian Open,Hard,128,G,20230116,100,104745,1,,Rafael Nadal,L,185,ESP,36.6,207733,,,Jack Draper,L,193,GBR,21,7-5 2-6 6-4 6-1,5,R128,221,6,3,119,78,57,21,19,7,11,13,3,115,67,42,27,18,6,12,2,5770,38,1020
2023-580,Australian Open,Hard,128,G,20230116,101,111456,,,Mackenzie Mcdonald,R,178,USA,27.7,206909,,,Brandon Nakashima,R,188,USA,21.4,7-6(5) 7-6(1) 1-6 6-7(10) 6-4,5,R128,242,14,4,156,104,81,31,27,1,5,19,9,177,120,98,24,26,4,7,65,775,49,902
2023-580,Australian Open,Hard,128,G,20230116,102,207494,,Q,Dalibor Svrcina,R,178,CZE,20.2,144719,,,Jaume Munar,R,183,ESP,25.7,6-3 6-2 6-2,5,R128,136,0,4,69,48,37,12,13,4,5,7,6,102,65,40,10,12,11,18,216,249,64,777
2023-580,Australian Open,Hard,128,G,20230116,103,106415,31,,Yoshihito Nishioka,L,170,JPN,27.3,144707,,,Mikael Ymer,R,183,SWE,24.3,6-4 6-2 7-5,5,R128,138,1,1,86,55,40,19,15,3,5,6,3,90,66,41,12,15,6,12,33,1212,69,751
2023-580,Australian Open,Hard,128,G,20230116,104,111575,18,,Karen Khachanov,R,198,RUS,26.6,126523,,,Bernabe Zapata Miralles,R,183,ESP,26,7-6(3) 6-2 6-0,5,R128,122,11,1,90,68,50,14,13,6,7,1,1,91,56,33,12,13,6,12,20,1885,72,712
2023-580,Australian Open,Hard,128,G,20230116,105,106186,,WC,Jason Kubler,R,178,AUS,29.6,202104,,,Sebastian Baez,R,170,ARG,22,6-4 6-4 6-4,5,R128,136,6,2,86,53,45,19,15,3,3,0,3,80,61,40,11,15,0,3,84,633,44,975
2023-580,Australian Open,Hard,128,G,20230116,106,209992,,Q,Juncheng Shang,L,180,CHN,17.9,106214,,,Oscar Otte,R,193,GER,29.5,6-2 6-4 6-7(2) 7-5,5,R128,176,3,0,128,92,72,21,21,2,2,19,7,129,84,67,19,21,9,13,194,289,74,701
2023-580,Australian Open,Hard,128,G,20230116,107,126207,16,,Frances Tiafoe,R,188,USA,24.9,127157,,,Daniel Altmaier,R,188,GER,24.3,6-3 6-3 6-7(5) 7-6(6),5,R128,199,24,3,129,81,68,31,21,7,8,17,2,154,93,65,33,21,12,16,17,2260,92,584
2023-580,Australian Open,Hard,128,G,20230116,108,128034,10,,Hubert Hurkacz,R,196,POL,25.9,124079,,,Pedro Martinez,R,185,ESP,25.7,7-6(1) 6-2 6-2,5,R128,109,24,1,70,51,46,14,14,0,0,0,4,84,61,38,10,14,0,4,11,2860,60,801
2023-580,Australian Open,Hard,128,G,20230116,109,132283,,,Lorenzo Sonego,R,191,ITA,27.6,132686,,,Nuno Borges,R,185,POR,25.9,7-6(4) 6-3 6-7(6) 6-1,5,R128,197,16,4,129,94,79,19,20,4,4,0,2,128,89,56,30,20,4,7,47,925,111,512
2023-580,Australian Open,Hard,128,G,20230116,110,106121,,,Taro Daniel,R,191,JPN,29.9,124014,,Q,Ernesto Escobedo,R,185,MEX,26.5,7-5 6-2 3-6 6-3,5,R128,194,15,3,122,77,56,26,19,5,7,11,3,124,78,54,23,19,6,11,94,572,313,163
2023-580,Australian Open,Hard,128,G,20230116,111,133430,20,,Denis Shapovalov,L,185,CAN,23.7,105583,,,Dusan Lajovic,R,183,SRB,32.5,6-4 4-6 6-4 6-1,5,R128,143,16,7,111,62,51,25,19,3,5,5,2,102,76,52,13,18,7,12,22,1830,86,626
2023-580,Australian Open,Hard,128,G,20230116,112,200624,29,,Sebastian Korda,R,196,USA,22.5,106426,,,Cristian Garin,R,185,CHI,26.6,6-4 1-6 6-3 6-2,5,R128,154,16,5,105,61,46,25,17,10,13,5,2,103,53,35,27,17,4,9,31,1325,87,606
2023-580,Australian Open,Hard,128,G,20230116,113,133297,,Q,Yosuke Watanuki,R,180,JPN,24.7,126239,,,Arthur Rinderknech,R,196,FRA,27.4,6-3 6-3 6-2,5,R128,103,10,4,72,47,40,13,13,0,0,8,4,76,47,31,13,13,8,13,138,413,59,807
