tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points
2022-580,Australian Open,Hard,128,G,20220117,100,200175,,,Miomir Kecmanovic,R,183,SRB,22.3,106099,,LL,Salvatore Caruso,R,185,ITA,29,6-4 6-2 6-1,5,R128,116,4,2,72,46,33,15,13,1,3,3,5,83,41,25,12,12,7,15,77,836,146,458
2022-580,Australian Open,Hard,128,G,20220117,101,126205,,,Tommy Paul,R,185,USA,24.6,105062,,Q,Mikhail Kukushkin,R,183,KAZ,34,6-3 6-4 6-2,5,R128,99,9,5,84,50,42,17,14,2,3,3,2,79,56,33,12,13,5,10,41,1317,180,362
2022-580,Australian Open,Hard,128,G,20220117,102,106214,,,Oscar Otte,R,193,GER,28.5,202358,,WC,Chun Hsin Tseng,R,175,TPE,20.4,6-4 6-3 6-2,5,R128,110,9,5,84,51,42,12,14,7,10,0,4,88,42,23,21,13,6,13,96,748,190,348
2022-580,Australian Open,Hard,128,G,20220117,103,132283,25,,Lorenzo Sonego,R,191,ITA,26.6,105023,,,Sam Querrey,R,198,USA,34.2,7-5 6-3 6-3,5,R128,134,10,3,107,81,58,16,15,9,9,2,2,108,69,51,13,15,8,12,26,1860,110,685
2022-580,Australian Open,Hard,128,G,20220117,104,104792,17,,Gael Monfils,R,193,FRA,35.3,105948,,,Federico Coria,R,180,ARG,29.8,6-1 6-1 6-3,5,R128,95,11,2,73,42,34,17,12,6,6,2,3,70,43,24,11,11,4,10,20,2373,64,976
2022-580,Australian Open,Hard,128,G,20220117,105,122330,,,Alexander Bublik,R,196,KAZ,24.5,124014,,LL,Ernesto Escobedo,R,185,MEX,25.5,3-6 7-6(5) 6-3 6-3,5,R128,152,30,11,130,80,69,18,20,7,9,3,5,130,85,60,23,19,7,11,37,1411,141,497
2022-580,Australian Open,Hard,128,G,20220117,106,124079,,,Pedro Martinez,R,185,ESP,24.7,105643,,,Federico Delbonis,L,193,ARG,31.2,7-6(15) 3-6 6-4 6-2,5,R128,238,7,5,142,94,57,28,20,6,11,3,4,144,106,70,11,19,7,13,61,1001,38,1347
2022-580,Australian Open,Hard,128,G,20220117,107,106426,16,,Cristian Garin,R,185,CHI,25.6,105487,,,Facundo Bagnis,L,183,ARG,31.8,6-3 6-4 5-7 6-7(4) 6-3,5,R128,279,10,7,172,96,70,49,26,6,9,26,4,190,124,85,32,26,11,16,19,2375,72,868
2022-580,Australian Open,Hard,128,G,20220117,108,200624,,,Sebastian Korda,R,196,USA,21.5,111815,12,,Cameron Norrie,L,188,GBR,26.4,6-3 6-0 6-4,5,R128,102,6,5,81,57,44,13,13,3,3,6,2,67,39,24,14,12,5,10,43,1286,12,2900
2022-580,Australian Open,Hard,128,G,20220117,109,144895,,,Corentin Moutet,L,180,FRA,22.7,106298,,WC,Lucas Pouille,R,185,FRA,27.8,3-6 6-3 6-4 6-3,5,R128,171,5,2,122,71,51,26,19,8,11,4,4,114,64,45,23,18,4,10,100,737,160,440
2022-580,Australian Open,Hard,128,G,20220117,110,134868,,,Tallon Griekspoor,R,188,NED,25.5,104926,,,Fabio Fognini,R,178,ITA,34.6,6-1 6-4 6-4,5,R128,106,11,1,79,50,41,19,14,2,2,3,4,84,39,26,22,13,8,12,62,1001,32,1494
2022-580,Australian Open,Hard,128,G,20220117,111,105807,19,,Pablo Carreno Busta,R,188,ESP,30.5,144869,,Q,Tomas Martin Etcheverry,R,196,ARG,22.5,6-1 6-2 7-6(2),5,R128,127,8,2,89,59,45,18,14,3,4,12,3,84,63,45,2,13,3,8,21,2305,131,556
2022-580,Australian Open,Hard,128,G,20220117,112,207989,31,,Carlos Alcaraz,R,183,ESP,18.7,126214,,Q,Alejandro Tabilo,L,188,CHI,24.6,6-2 6-2 6-3,5,R128,114,12,3,68,42,33,15,13,0,1,2,3,103,66,35,16,12,9,16,31,1609,135,518
2022-580,Australian Open,Hard,128,G,20220117,113,105583,,,Dusan Lajovic,R,183,SRB,31.5,105916,,,Marton Fucsovics,R,188,HUN,29.9,6-3 4-6 6-1 6-7(6) 6-1,5,R128,203,9,2,133,100,78,15,23,2,4,10,8,155,98,62,29,22,7,14,39,1346,35,1457
2022-580,Australian Open,Hard,128,G,20220117,114,111578,,WC,Stefan Kozlov,R,183,USA,23.9,106210,,,Jiri Vesely,L,198,CZE,28.5,7-5 6-3 6-4,5,R128,155,5,7,96,66,52,18,16,4,4,3,4,98,58,45,18,15,5,8,169,401,78,824
2022-580,Australian Open,Hard,128,G,20220117,115,126610,7,,Matteo Berrettini,R,196,ITA,25.7,206909,,,Brandon Nakashima,R,188,USA,20.4,4-6 6-2 7-6(5) 6-3,5,R128,190,21,2,129,78,57,30,20,8,9,12,2,117,77,57,19,19,8,11,7,4568,68,917
2022-580,Australian Open,Hard,128,G,20220117,116,100644,3,,Alexander Zverev,R,198,GER,24.7,127157,,,Daniel Altmaier,R,188,GER,23.3,7-6(3) 6-1 7-6(1),5,R128,158,14,6,91,65,57,10,16,0,1,1,3,127,73,48,22,15,14,18,3,7970,87,792
2022-580,Australian Open,Hard,128,G,20220117,117,105357,,,John Millman,R,183,AUS,32.5,103852,,,Feliciano Lopez,L,188,ESP,40.3,6-1 6-3 4-6 7-5,5,R128,172,6,0,121,77,55,25,19,5,7,26,5,132,78,57,18,19,15,21,89,788,109,696
2022-580,Australian Open,Hard,128,G,20220117,118,105430,,Q,Radu Albot,R,175,MDA,32.1,106415,,,Yoshihito Nishioka,L,170,JPN,26.3,6-3 6-4 4-6 6-2,5,R128,154,7,5,103,66,52,20,19,1,4,3,2,109,66,42,23,18,2,8,124,587,119,610
2022-580,Australian Open,Hard,128,G,20220117,119,126846,,WC,Aleksandar Vukic,R,188,AUS,25.7,144750,30,,Lloyd Harris,R,193,RSA,24.8,4-6 6-3 7-5 7-6(3),5,R128,175,11,1,142,82,68,36,22,4,5,14,2,134,95,70,21,21,7,9,144,477,33,1473
2022-580,Australian Open,Hard,128,G,20220117,120,124187,23,,Reilly Opelka,R,211,USA,24.3,104731,,,Kevin Anderson,R,203,RSA,35.6,6-3 6-4 7-6(3),5,R128,104,23,0,76,56,51,18,16,0,0,11,3,83,53,44,16,15,1,3,29,1776,97,744
2022-580,Australian Open,Hard,128,G,20220117,121,136440,,,Dominik Koepfer,L,180,GER,27.7,126535,,,Carlos Taberner,R,183,ESP,24.4,6-1 3-6 6-4 6-1,5,R128,147,7,5,88,60,47,14,17,2,4,3,6,101,51,35,19,16,3,10,53,1096,108,707
