tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points
2018-580,Australian Open,Hard,128,G,20180115,101,104745,1,,Rafael Nadal,L,185,ESP,31.6,103607,,,Victor Estrella,R,173,DOM,37.4,6-1 6-1 6-1,5,R128,94,2,1,66,48,37,12,11,5,6,1,1,61,40,19,5,10,4,12,1,10600,79,677
2018-580,Australian Open,Hard,128,G,20180115,102,104919,,,Leonardo Mayer,R,188,ARG,30.6,111797,,,Nicolas Jarry,R,201,CHI,22.2,6-2 7-6(1) 6-3,5,R128,115,12,1,66,46,46,14,14,0,0,10,1,123,74,50,20,15,12,16,52,929,101,550
2018-580,Australian Open,Hard,128,G,20180115,103,105357,,,John Millman,R,183,AUS,28.5,106432,,,Borna Coric,R,188,CRO,21.1,7-5 6-4 6-1,5,R128,139,10,2,108,69,51,17,15,5,7,2,4,79,48,27,14,14,2,8,122,476,46,1036
2018-580,Australian Open,Hard,128,G,20180115,104,106000,28,,Damir Dzumhur,R,175,BIH,25.6,103893,,,Paolo Lorenzi,R,183,ITA,36,3-6 2-6 7-6(5) 6-2 6-4,5,R128,225,3,5,127,74,58,27,23,4,9,18,5,179,92,68,41,24,8,13,30,1391,44,1120
2018-580,Australian Open,Hard,128,G,20180115,105,106043,24,,Diego Schwartzman,R,170,ARG,25.4,105583,,,Dusan Lajovic,R,183,SRB,27.5,2-6 6-3 5-7 6-4 11-9,5,R128,239,14,7,189,109,68,40,30,14,25,6,8,183,126,78,24,29,13,24,26,1675,75,687
2018-580,Australian Open,Hard,128,G,20180115,106,134770,,Q,Casper Ruud,R,183,NOR,19,111460,,Q,Quentin Halys,R,191,FRA,21.2,6-3 3-6 6-7(5) 7-5 11-9,5,R128,256,9,4,225,153,102,43,31,14,16,27,16,195,120,99,31,31,8,12,138,422,134,436
2018-580,Australian Open,Hard,128,G,20180115,107,105238,,,Alexandr Dolgopolov,R,180,UKR,29.1,104890,,,Andreas Haider Maurer,R,190,AUT,30.8,7-6(3) 6-3 6-4,5,R128,124,11,4,88,46,36,19,15,4,8,11,7,112,63,40,17,16,9,16,37,1296,448,81
2018-580,Australian Open,Hard,128,G,20180115,108,105051,,,Matthew Ebden,R,188,AUS,30.1,104545,16,,John Isner,R,208,USA,32.7,6-4 3-6 6-3 6-3,5,R128,124,13,4,97,68,57,18,18,2,3,24,2,105,68,48,20,19,0,4,78,684,16,2265
2018-580,Australian Open,Hard,128,G,20180115,109,105807,10,,Pablo Carreno Busta,R,188,ESP,26.5,106186,,WC,Jason Kubler,R,178,AUS,24.6,7-5 4-6 7-5 6-1,5,R128,211,10,4,122,81,58,17,20,4,9,6,11,153,91,59,22,21,11,20,11,2615,243,217
2018-580,Australian Open,Hard,128,G,20180115,110,104468,,,Gilles Simon,R,183,FRA,33,105657,,,Marius Copil,R,191,ROU,27.2,7-5 6-4 6-3,5,R128,121,2,6,106,72,51,17,16,3,5,12,2,84,49,33,18,15,5,10,57,860,92,592
2018-580,Australian Open,Hard,128,G,20180115,111,104291,,,Malek Jaziri,R,185,TUN,33.9,106099,,Q,Salvatore Caruso,R,185,ITA,25,6-7(2) 3-6 6-3 7-5 6-3,5,R128,242,9,6,162,85,61,37,26,9,17,9,6,176,96,63,33,25,14,24,100,560,210,254
2018-580,Australian Open,Hard,128,G,20180115,112,104180,23,,Gilles Muller,L,193,LUX,34.6,105643,,,Federico Delbonis,L,193,ARG,27.2,7-5 6-4 6-3,5,R128,149,15,2,88,59,46,20,16,3,3,4,3,111,74,49,17,15,8,11,28,1490,67,755
2018-580,Australian Open,Hard,128,G,20180115,113,104655,31,,Pablo Cuevas,R,180,URU,32,104022,,,Mikhail Youzhny,R,183,RUS,35.5,7-6(7) 6-3 7-5,5,R128,143,12,2,108,68,47,27,17,1,4,9,1,103,63,39,21,16,3,8,34,1345,90,604
2018-580,Australian Open,Hard,128,G,20180115,114,105992,,,Ryan Harrison,R,185,USA,25.6,104534,,,Dudi Sela,R,175,ISR,32.7,6-3 5-7 3-6 7-5 6-2,5,R128,219,15,6,160,99,68,27,25,6,13,5,4,150,95,57,26,25,10,19,45,1115,95,585
2018-580,Australian Open,Hard,128,G,20180115,115,105311,,,Joao Sousa,R,185,POR,28.7,104460,,Q,Dustin Brown,R,196,JAM,33.1,6-4 6-3 4-6 6-7(4) 6-1,5,R128,171,7,2,117,79,66,27,23,4,6,10,11,183,123,79,25,25,9,16,70,720,129,442
